,Fecha_del_Caso,Provincia,Clasificacion,link1,medio
46,20/1/2023,Buenos Aires,Intento de Femicidio Vinculado,https://www.bigbangnews.com/policiales/video-aterrador-evito-el-femicidio-de-una-mujer-lo-atacaron-a-punaladas-y-se-salvo-de-milagro-202312017140,bigbangnews
47,20/1/2023,Jujuy,Intento de Femicidio,https://www.jujuyalmomento.com/violencia-genero/violencia-genero-alto-comedero-si-no-volves-conmigo-te-voy-matar-n148821,jujuyalmomento
48,20/1/2023,Córdoba,Intento de Femicidio,https://www.minutouno.com/sociedad/cordoba/el-boton-antipanico-una-victima-violencia-genero-todo-quedo-grabado-n5634045,minutouno
49,20/1/2023,Neuquén,Se Investiga - Femicidio,https://weblavoz.com.ar/secciones/policiales/96539-intento-de-femicidio-discutia-con-su-pareja-y-provoco-un-autovuelco,weblavoz
50,20/1/2023,Formosa,Intento de Femicidio,https://www.elcomercial.com.ar/22580-un-joven-de-19-rocio-con-alcohol-a-una-menor-de-14-anos-y-le-prendio-fuego,elcomercial
51,21/1/2023,Buenos Aires,Femicidio,https://www.labuenainfo.com/noticia/22928/femicidio-en-la-plata-la-mato-a-golpes-tras-una-discusion-por-una-presunta-infidelidad-,labuenainfo
52,21/1/2023,Buenos Aires,Intento de Femicidio,https://www.telam.com.ar/notas/202301/617938-quilmes-detencion-agresor-pareja.html,telam
53,21/1/2023,Buenos Aires,Intento de Femicidio,https://elargentinodiario.com.ar/generos/violencia-de-genero/22/01/2023/un-hombre-fue-detenido-luego-de-golpear-a-su-pareja-y-a-sus-hijos-en-mar-del-plata/,elargentinodiario
54,21/1/2023,Buenos Aires,Intento de Femicidio Vinculado,https://www.lacapitalmdp.com/detuvieron-a-un-hombre-que-golpeaba-a-su-pareja-y-a-sus-hijos/,lacapitalmdp
55,21/1/2023,Buenos Aires,Intento de Femicidio Vinculado,https://www.lacapitalmdp.com/detuvieron-a-un-hombre-que-golpeaba-a-su-pareja-y-a-sus-hijos/,lacapitalmdp
56,21/1/2023,Mendoza,Intento de Femicidio,https://www.elcucodigital.com/tupungato-violento-entro-a-la-casa-de-su-ex-pareja-en-la-madrugada-y-la-molio-a-golpes/,elcucodigital
57,22/1/2023,Tucumán,Femicidio,https://www.lagaceta.com.ar/nota/977588/seguridad/femicidio-estacion-araoz-hombre-confeso-asesino-esposa-se-entrego-policia.html,lagaceta
58,22/1/2023,Tucumán,Intento de Femicidio,https://elfamaillense.com.ar/monteagudo-detuvieron-a-un-hombre-por-un-intento-de-femicidio/,elfamaillense
59,22/1/2023,Misiones,Intento de Femicidio,https://www.elterritorio.com.ar/noticias/2023/01/25/777448-preso-por-violencia-de-genero-salio-de-la-celda-y-volvio-a-atacar-a-su-ex,elterritorio
60,22/1/2023,Córdoba,Intento de Femicidio,https://www.diariosumario.com.ar/generos/2023/1/23/violencia-de-genero-detienen-un-hombre-por-quemar-con-agua-caliente-su-pareja-37893.html,diariosumario
61,23/1/2023,Mendoza,Femicidio Directo,"https://www.unidiversidad.com.ar/nuevo-femicidio-en-mendoza-el-atacante-tenia-denuncias-previas-por-violencia-de-genero, https://www.sitioandino.com.ar/policiales/comienza-un-juicio-jurado-el-femicidio-jesica-olguin-n5698478, https://www.sitioandino.com.ar/policiales/una-pina-al-menton-estupor-el-jurado-popular-que-un-confeso-femicida-n5698955, https://eleditormendoza.com.ar/policiales/que-dice-la-ley-la-decision-del-jurado-popular-que-al-acusado-del-femicidio-jesica-olguin-n5361090",unidiversidad
62,23/1/2023,Buenos Aires,Intento de Femicidio,https://elargentinodiario.com.ar/generos/violencia-de-genero/23/01/2023/violencia-de-genero-anciano-acuchillo-a-su-pareja-de-82-anos-y-fue-detenido/,elargentinodiario
63,23/1/2023,Entre Ríos,Intento de Femicidio,https://www.radionacional.com.ar/una-mujer-denuncio-a-su-expareja-por-violencia-de-genero/,radionacional
64,23/1/2023,Chubut,Intento de Femicidio,https://radio3cadenapatagonia.com.ar/le-dio-un-ataque-de-celos-en-medio-de-una-cita-y-golpeo-brutalmente-a-su-pareja/,radio3cadenapatagonia
65,26/1/2023,Corrientes,Femicidio,https://www.voxpopuli.net.ar/pais/intento-de-femicidio-una-mujer-pelea-por-su-vida-con-el-80-del-cuerpo-quemado/,voxpopuli
66,27/1/2023,Chaco,Femicidio Vinculado,https://www.diarionorte.com/227288-tres-isletas-ingreso-al-domicilio-de-su-expareja-y-asesino-al-hombre-que-la-acompanaba-,diarionorte
67,28/1/2023,Ciudad Autónoma de Buenos Aires,Femicidio,https://www.pagina12.com.ar/522313-los-femicidios-de-mujeres-en-situacion-de-calle-estan-invisi,pagina12
68,28/1/2023,Buenos Aires,Intento de Femicidio,https://www.diariodemocracia.com/regionales/chacabuco/276899-hombre-chacabuco-detenido-intento-femicidio/,diariodemocracia
69,29/1/2023,Salta,Se Investiga - Femicidio,"https://cuartopodersalta.com.ar/familiares-senalan-que-fue-un-femicidio/, https://www.pagina12.com.ar/557036-salta-un-hombre-mato-a-su-expareja-y-se-suicido",cuartopodersalta
70,29/1/2023,Catamarca,Intento de Femicidio,https://www.elancasti.com.ar/policiales/violencia-genero-agredio-su-pareja-y-amenazo-un-arma-personal-policial-n516903,elancasti
71,30/1/2023,Buenos Aires,Intento de Femicidio,https://www.minutobalcarce.com.ar/un-joven-fue-detenido-tras-intentar-asfixiar-a-su-pareja/,minutobalcarce
72,30/1/2023,Buenos Aires,Intento de Femicidio,https://radiomitre.cienradios.com/policiales/horror-en-mar-del-plata-la-invito-a-cenar-pero-la-golpeo-salvajemente-y-la-amenazo-con-una-cuchilla/,cienradios
73,31/1/2023,Ciudad Autónoma de Buenos Aires,Intento de Femicidio,https://www.clarin.com/sociedad/tiroteo-agronomia-intento-femicidio-policia-federal-baleo-calle-ex-aspirantes-fuerza_0_Xe12BZuYB7.html,clarin
74,31/1/2023,Ciudad Autónoma de Buenos Aires,Intento de Femicidio Vinculado,https://www.clarin.com/sociedad/tiroteo-agronomia-intento-femicidio-policia-federal-baleo-calle-ex-aspirantes-fuerza_0_Xe12BZuYB7.html,clarin
75,31/1/2023,Ciudad Autónoma de Buenos Aires,Intento de Femicidio Vinculado,https://www.clarin.com/sociedad/tiroteo-agronomia-intento-femicidio-policia-federal-baleo-calle-ex-aspirantes-fuerza_0_Xe12BZuYB7.html,clarin
76,1/2/2023,Salta,Transfemicidio,https://www.pagina12.com.ar/522380-camila-spears-esta-en-coma-y-su-novio-detenido,pagina12
77,3/2/2023,Río Negro,Intento de Femicidio,https://www.rionegro.com.ar/justicia/intento-de-femicidio-en-catriel-tendra-consecuencias-irreversibles-2727808/,rionegro
78,5/2/2023,Buenos Aires,Intento de Femicidio,https://www.lt7noticias.com/36294-intento-de-femicidio-en-plena-misa-comulgo-y-quiso-apunalar-a-su-ex,lt7noticias
79,5/2/2023,Río Negro,Intento de Femicidio,"https://www.noticiasnet.com.ar/noticias/2023/02/08/122164-violencia-de-genero-un-hombre-esta-preso-por-intentar-ahorcar-a-su-pareja-a-la-salida-de-un-cumpleanos, https://www.lmneuquen.com/policiales/casi-muere-ahorcada-su-ex-cinco-minutos-mas-y-no-la-contaba-n1098673",noticiasnet
80,5/2/2023,Ciudad Autónoma de Buenos Aires,Intento de Femicidio,https://viaszeta.com/2023/05/18/estaba-profugo-por-intento-de-femicidio-y-lo-descubrieron-trabajando-como-chofer-de-un-micro-escolar/,viaszeta
81,6/2/2023,Buenos Aires,Femicidio,https://infobuenosaires.com.ar/2023/02/05/femicidio-en-olavarria-murio-la-mujer-que-estaba-internada/,infobuenosaires
82,6/2/2023,Jujuy,Intento de Femicidio,https://elnoticierodigital.com.ar/2023/02/07/conmocion-en-palpala-por-un-brutal-hecho-de-violencia-de-genero/,elnoticierodigital
83,7/2/2023,Buenos Aires,Se Investiga - Femicidio,https://www.mdzol.com/policiales/2023/2/7/brutal-femicidio-mataron-tiros-punaladas-una-mujer-en-ciudad-evita-313113.html,mdzol
84,7/2/2023,Santa Fe,Intento de Femicidio,https://viapais.com.ar/rosario/violencia-de-genero-le-corto-el-cuello-a-su-ex-pareja-dentro-de-un-auto-en-el-oeste-de-rosario/,viapais
85,8/2/2023,Salta,Se Investiga - Femicidio,https://elinfluencer.com.ar/posible-femicidio-investigan-la-muerte-de-una-mujer-en-atocha/,elinfluencer
86,10/2/2023,Buenos Aires,Femicidio,https://po.org.ar/comunicados/a-un-ano-del-femicidio-de-claudia-tupa-lotore-no-bajamos-los-brazos-justicia-ya/,po
87,11/2/2023,Buenos Aires,Se Investiga - Femicidio,https://tn.com.ar/sociedad/2023/02/17/murio-la-joven-que-se-habia-tirado-de-un-auto-en-la-general-paz-tras-discutir-con-su-expareja/,tn
88,11/2/2023,Salta,Se Investiga - Femicidio,https://www.quepasasalta.com.ar/policiales/hallaron-sin-vida-joven-barrio-rosedal-salta/,quepasasalta
89,12/2/2023,Santa Fe,Femicidio Vinculado,https://viapais.com.ar/rosario/crimen-en-villa-gobernador-galvez-denuncio-que-su-ex-mato-a-su-pareja/,viapais
90,12/2/2023,Neuquén,Femicidio,"https://www.rionegro.com.ar/justicia/doble-femicidio-en-neuquen-hay-un-detenido-y-las-victimas-serian-madre-e-hija-2741152/, https://www.mejorinformado.com/policiales/2024/6/27/condenaron-lagos-por-el-abuso-sexual-de-luz-prieto-125227.html",rionegro
91,12/2/2023,Neuquén,Femicidio,https://www.rionegro.com.ar/justicia/doble-femicidio-en-neuquen-hay-un-detenido-y-las-victimas-serian-madre-e-hija-2741152/,rionegro
92,12/2/2023,Salta,Intento de Femicidio Vinculado,https://defrentesalta.com.ar/contenido/9005/detienen-a-un-hombre-por-un-grave-caso-de-violencia-de-genero,defrentesalta
93,13/2/2023,Buenos Aires,Se Investiga - Femicidio,https://www.ambito.com/informacion-general/constitucion/femicidio-un-hotel-hallaron-asesinada-una-mujer-60-anos-n5651378,ambito
94,13/2/2023,Buenos Aires,Intento de Femicidio,https://www.labuenainfo.com/noticia/23193/san-carlos-arrestan-a-un-hombre-de-38-anos-que-amenazo-a-su-pareja-com-una-cuchilla,labuenainfo
95,13/2/2023,Río Negro,Intento de Femicidio,https://policia.rionegro.gov.ar/2023/02/violencia-de-genero-aprehenden-a-un-hombre-que-amenazo-a-su-ex-pareja-con-un-arma-blanca/,rionegro
96,13/2/2023,Mendoza,Femicidio,https://www.lanacion.com.ar/seguridad/femicidio-en-mendoza-un-agricultor-coreano-fue-asistido-por-envenenamiento-y-confeso-que-mato-a-su-nid13022023/,lanacion
97,14/2/2023,Buenos Aires,Femicidio,https://www.telam.com.ar/notas/202302/620138-muerte-joven-mujer-boulogne-femicidio-detencion-pareja.html,telam
98,17/2/2023,Buenos Aires,Intento de Femicidio,https://elargentinodiario.com.ar/generos/violencia-de-genero/18/02/2023/brutal-ataque-a-mujer-policia-le-deja-el-75-del-cuerpo-quemado/,elargentinodiario
99,17/2/2023,Santa Fe,Intento de Femicidio Vinculado,https://www.elciudadanoweb.com/un-inesperado-cortador-de-cesped-confirmo-a-pachu-y-pablo-en-el-partido-despedida-de-maxi/,elciudadanoweb
100,17/2/2023,Corrientes,Intento de Femicidio,https://www.radiodos.com.ar/132456-violencia-de-genero-en-corrientes-la-secuestro-en-un-inquilinato-y-la-desfiguro-a-golpes,radiodos
101,18/2/2023,Buenos Aires,Se Investiga - Femicidio,https://www.a24.com/policiales/glew-encontraron-muerta-una-mujer-un-hotel-alojamiento-y-se-investiga-si-fue-victima-femicidio-n1078545,a24
102,18/2/2023,Chaco,Femicidio,https://tn.com.ar/policiales/2023/02/18/encontraron-a-una-pareja-muerta-a-escopetazos-sospechan-que-se-trata-de-un-femicidio-seguido-de-suicidio/,tn
103,18/2/2023,Santiago del Estero,Intento de Femicidio,https://www.airedesantafe.com.ar/actualidad/santiago-del-estero-un-policia-golpeo-y-asfixio-su-pareja-luego-que-le-pidiera-plata-comprar-panales,airedesantafe
104,19/2/2023,Salta,Femicidio,"https://www.pagina12.com.ar/525158-investigan-un-presunto-femicidio-en-oran, https://www.quepasasalta.com.ar/policiales/arrojo-a-su-novia-del-cuarto-piso-del-departamento/",pagina12
105,19/2/2023,Buenos Aires,Intento de Femicidio,https://www.verte.tv/noticias/30503-Una-mujer-internada-tras-ser-atacada-por-su-pareja,verte
106,19/2/2023,Tucumán,Intento de Femicidio,https://www.comunicaciontucuman.gob.ar/noticia/seguridad/217846/violencia-genero-aprehenden-al-agresor-secuestran-revolver-cargado,comunicaciontucuman
107,19/2/2023,Ciudad Autónoma de Buenos Aires,Femicidio,"https://www.tiemposur.com.ar/policiales/matan-a-tiros-a-una-joven-en-barracas-y-buscan-a-la-pareja, https://www.cronica.com.ar/policiales/Detienen-en-Paraguay-al-principal-sospechoso-por-el-femicidio-de-Ferni-Ayala-20230711-0181.html, https://www.infobae.com/sociedad/policiales/2023/07/11/tras-cinco-meses-profugo-detuvieron-en-paraguay-al-sospechoso-del-femicidio-del-barrio-zavaleta/, https://www.fiscales.gob.ar/genero/condenaron-a-prision-perpetua-a-un-prestamista-por-el-femicidio-intimo-de-su-pareja-ferni-ayala/",tiemposur
108,20/2/2023,Buenos Aires,Intento de Femicidio,https://www.lacapitalmdp.com/ahorco-a-su-pareja-y-amenazo-con-matarla-con-un-pelapapas/,lacapitalmdp
109,20/2/2023,Buenos Aires,Intento de Femicidio,https://bbl.com.ar/nota_20425_intento-de-femicidio-en-bahia-blanca-el-agresor-violo-la-perimetral-,bbl
110,22/2/2023,Santa Fe,Femicidio,https://www.canal26.com/policiales/violencia-sin-fin-en-rosario-sicarios-mataron-a-tiros-a-una-chica-de-18-anos--336792,canal26
111,22/2/2023,Córdoba,Femicidio,"https://www.cba24n.com.ar/sucesos/investigan-posible-femicidio-en-oncativo_a63f74ca8359c60ee6bb8eeba, https://www.diarioepoca.com/1276358-encontraron-a-un-matrimonio-muerto-en-su-casa-la-policia-investiga-un-femicidio-seguido-de-suicidio",cba24n
112,23/2/2023,Buenos Aires,Intento de Femicidio,https://diariohoy.net/trama-urbana/villa-elvira-amenazo-de-muerte-a-su-pareja-y-le-corto-el-brazo-222122,diariohoy
113,23/2/2023,Buenos Aires,Femicidio,https://www.nuevodiarioweb.com.ar/noticias/2023/02/24/375645-macabro-hallazgo-la-encontraron-muerta-dentro-de-su-casa-y-se-sospecha-de-su-pareja,nuevodiarioweb
114,24/2/2023,Entre Ríos,Intento de Femicidio,https://ahora.com.ar/policiales/tension-hernandarias-violento-le-puso-un-arma-la-cabeza-su-pareja-n5336715,ahora
115,25/2/2023,Corrientes,Se Investiga - Femicidio,https://www.diarioellibertador.com.ar/capital-investigan-la-muerte-de-una-joven/,diarioellibertador
116,25/2/2023,Santiago del Estero,Femicidio,https://www.diariopanorama.com/noticia/440841/femicidio-ojo-agua-policia-mato-docente-mica-corvalan-frente-hijo-7-anos,diariopanorama
117,25/2/2023,Entre Ríos,Intento de Femicidio,https://ahora.com.ar/policiales/concordia-ataco-su-ex-y-su-hijo-y-luego-incendio-la-casa-n5336867,ahora
118,25/2/2023,Misiones,Intento de Femicidio,https://misionesopina.com.ar/intento-de-femicidio-quiso-degollar-a-su-ex-delante-de-los-hijos/,misionesopina
119,26/2/2023,Misiones,Femicidio,https://www.noticiasnet.com.ar/noticias/2023/03/15/124359-un-joven-mato-a-su-mama-durante-una-discusion-por-celos-preferis-a-mi-hermano,noticiasnet
120,26/2/2023,Salta,Intento de Femicidio Vinculado,https://www.contextotucuman.com/nota/290584/huyo-en-calzoncillos-del-hotel-seguido-por-el-furioso-marido-de-su-amante.html,contextotucuman
121,26/2/2023,Entre Ríos,Intento de Femicidio Vinculado,https://ahora.com.ar/policiales/concordia-ataco-su-ex-y-su-hijo-y-luego-incendio-la-casa-n5336867,ahora
122,26/2/2023,Salta,Se Investiga - Femicidio,https://www.holasalta.com/post/encuentran-a-una-mujer-sin-vida-en-cafayate-y-la-unidad-de-femicidio-investiga-el-hecho,holasalta
123,27/2/2023,San Juan,Intento de Femicidio,https://www.diarioelzondasj.com.ar/286505-aterrador-caso-de-violencia-de-genero-golpea-a-su-pareja-y-se-encierra,diarioelzondasj
124,28/2/2023,Neuquén,Intento de Femicidio Vinculado,https://www.mpfneuquen.gob.ar/mpf/index.php/es/10-neuquen/11-cutral-co/3325-imputado-por-tentativa-de-femicidio-seguira-detenido-2,mpfneuquen
125,28/2/2023,Neuquén,Intento de Femicidio,"https://www.mpfneuquen.gob.ar/mpf/index.php/es/10-neuquen/11-cutral-co/3325-imputado-por-tentativa-de-femicidio-seguira-detenido-2, https://www.noticiasnqn.com.ar/noticias/2024/06/26/299169-mas-de-11-anos-de-prision-por-intentar-matar-a-su-expareja-y-a-la-hija",mpfneuquen
126,1/3/2023,Santa Fe,Femicidio,https://www.canal26.com/policiales/femicidio-en-santa-fe-ahorco-a-su-exesposa-frente-a-sus-hijos--337586,canal26
127,2/3/2023,Ciudad Autónoma de Buenos Aires,Femicidio,https://www.infobae.com/sociedad/policiales/2023/03/02/asesinaron-a-una-contadora-del-ministerio-de-trabajo-de-la-nacion-y-por-el-femicidio-detuvieron-a-su-novio/,infobae
128,2/3/2023,San Juan,Intento de Femicidio,https://www.diarioelzondasj.com.ar/297433-violento-sanjuanino-golpea-y-muerte-a-su-novia,diarioelzondasj
129,3/3/2023,Entre Ríos,Se Investiga - Femicidio,"https://tn.com.ar/policiales/2023/03/04/una-mujer-dijo-que-iba-a-comer-un-asado-con-una-amiga-y-la-encontraron-muerta-en-el-patio-de-su-casa/, https://www.analisisdigital.com.ar/judiciales/2023/03/07/la-justicia-confirmo-que-el-crimen-de-splendore-es-de-connotacion",tn
130,3/3/2023,Córdoba,Femicidio,https://www.lavoz.com.ar/sucesos/investigan-otro-femicidio-seguido-de-suicidio-en-cordoba/,lavoz
131,3/3/2023,Salta,Femicidio,http://www.cuarto.com.ar/nuevo-femicidio-en-salta-hallaron-el-cadaver-de-una-mujer-maniatada-y-amordazada-cerca-del-vertedero-san-javier/,cuarto
132,4/3/2023,Santa Fe,Femicidio,https://radiofonica.com/imputaron-con-prision-preventiva-al-presunto-autor-de-un-femicidio-en-villa-gobernador-galvez/,radiofonica
133,5/3/2023,Neuquén,Intento de Femicidio,https://www.lmneuquen.com/le-dijo-que-la-amaba-y-casi-la-mata-punaladas-un-hotel-centrico-n1001960,lmneuquen
134,5/3/2023,Santa Fe,Intento de Femicidio,https://www.sanjorgevirtual.com.ar/2023/03/05/intento-de-femicidio/,sanjorgevirtual
135,6/3/2023,Entre Ríos,Femicidio,https://diarioelsol.com.ar/contenido/31035/joven-mujer-fue-asesinada-de-un-disparo-por-un-hombre-que-luego-se-suicido,diarioelsol
136,8/3/2023,Chaco,Femicidio,https://diarioprimeralinea.com.ar/investigan-presunto-doble-femicidio-en-quitilipi-hay-un-hombre-profugo/,diarioprimeralinea
